UINT8, RPM,Thrust (N), PWM (µs)
0,3643,58.9981979,1100
1,3643,58.67199525,1104
2,3624,57.82683383,1108
3,3607,57.11511895,1112
5,3578,56.58133279,1116
6,3563,55.55824266,1120
7,3528,54.89100996,1124
8,3520,53.912402,1128
10,3483,52.8003475,1132
11,3470,51.91070391,1136
12,3441,51.06554249,1140
14,3422,50.22038107,1144
15,3420,49.19729093,1148
16,3375,48.21868298,1152
17,3343,47.68489682,1156
19,3316,46.03905616,1160
20,3273,45.77216308,1164
21,3248,44.48217987,1168
22,3195,43.23667883,1172
24,3193,42.34703523,1176
25,3153,41.27946292,1180
26,3127,40.61223022,1184
28,3087,39.41121136,1188
29,3057,38.47708559,1192
30,3022,37.18710237,1196
31,2985,36.51986967,1200
33,2958,35.58574389,1204
34,2925,34.6961003,1208
35,2896,33.89542106,1212
36,2866,33.27267054,1216
38,2829,32.0271695,1220
39,2806,31.44890117,1224
40,2785,30.87063283,1228
42,2756,30.42581103,1232
43,2720,29.53616743,1236
44,2695,28.69100601,1240
45,2673,28.11273768,1244
47,2638,27.4010228,1248
48,2603,26.91171882,1252
49,2572,25.93311086,1256
51,2549,25.35484252,1260
52,2514,24.55416329,1264
53,2488,23.84244841,1268
54,2444,23.17521571,1272
56,2411,22.37453647,1276
57,2379,21.75178596,1280
58,2343,21.30696416,1284
59,2310,20.41732056,1288
61,2283,19.97249876,1292
62,2247,19.34974824,1296
63,2218,18.81596208,1300
65,2178,18.05976503,1304
66,2155,17.52597887,1308
67,2123,17.08115707,1312
68,2089,16.45840655,1316
70,2046,15.65772731,1320
71,2013,15.07945898,1324
72,1974,14.590155,1328
73,1937,13.96740448,1332
75,1896,13.56706486,1336
76,1871,12.94431434,1340
77,1832,12.54397472,1344
79,1796,12.01018856,1348
80,1765,11.56536677,1352
81,1733,11.12054497,1356
82,1697,10.54227663,1360
84,1659,9.96400829,1364
85,1611,9.474704312,1368
86,1575,8.985400333,1372
87,1539,8.629542894,1376
89,1507,8.229203276,1380
90,1469,7.873345837,1384
91,1428,7.428524038,1388
93,1390,6.8502557,1392
94,1344,6.538880441,1396
95,1308,6.138540822,1400
96,1270,5.738201203,1404
98,1229,5.382343764,1408
99,1178,4.982004145,1412
100,1136,4.626146706,1416
102,1090,4.181324908,1420
103,1039,3.825467469,1424
104,989,3.51409221,1428
105,935,3.113752591,1432
107,884,2.802377332,1436
108,823,2.446519893,1440
109,760,2.090662454,1444
110,703,1.779287195,1448
112,638,1.467911936,1452
113,575,1.201018856,1456
114,501,0.8896435974,1460
116,428,0.667232698,1464
117,357,0.4448217987,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,347,-0.4448217987,1532
138,424,-0.5782683383,1536
140,494,-0.7561970578,1540
141,562,-1.023090137,1544
142,624,-1.245501036,1548
144,686,-1.512394116,1552
145,745,-1.779287195,1556
146,805,-2.046180274,1560
147,856,-2.357555533,1564
149,906,-2.668930792,1568
150,959,-2.980306051,1572
151,1009,-3.29168131,1576
153,1052,-3.603056569,1580
154,1099,-3.914431828,1584
155,1140,-4.225807087,1588
156,1184,-4.537182347,1592
158,1227,-4.848557606,1596
159,1267,-5.204415045,1600
160,1301,-5.471308124,1604
161,1341,-5.871647743,1608
163,1377,-6.227505182,1612
164,1419,-6.58336262,1616
165,1456,-6.8502557,1620
167,1493,-7.250595318,1624
168,1527,-7.561970578,1628
169,1564,-7.962310196,1632
170,1599,-8.407131995,1636
172,1637,-8.762989434,1640
173,1679,-9.163329053,1644
174,1716,-9.519186492,1648
175,1747,-9.919526111,1652
177,1783,-10.27538355,1656
178,1817,-10.63124099,1660
179,1851,-11.12054497,1664
181,1887,-11.52088459,1668
182,1920,-12.01018856,1672
183,1952,-12.49949254,1676
184,1989,-13.0332787,1680
186,2021,-13.52258268,1684
187,2066,-13.96740448,1688
188,2098,-14.3677441,1692
189,2143,-14.90153026,1696
191,2171,-15.34635205,1700
192,2198,-15.79117385,1704
193,2230,-16.28047783,1708
195,2265,-16.85874617,1712
196,2293,-17.25908579,1716
197,2330,-17.79287195,1720
198,2351,-18.46010465,1724
200,2402,-19.03837298,1728
201,2443,-19.57215914,1732
202,2474,-20.01698094,1736
204,2513,-20.68421364,1740
205,2546,-21.17351762,1744
206,2577,-21.6628216,1748
207,2602,-22.10764339,1752
209,2627,-22.73039391,1756
210,2670,-23.17521571,1760
211,2695,-23.75348405,1764
212,2731,-24.28727021,1768
214,2766,-24.77657419,1772
215,2809,-25.35484252,1776
216,2823,-26.0665574,1780
218,2850,-26.46689702,1784
219,2894,-27.22309408,1788
220,2914,-27.89032678,1792
221,2960,-28.24618422,1796
223,2985,-29.00238127,1800
224,3026,-29.71409615,1804
225,3055,-30.33684667,1808
226,3089,-31.31545463,1812
