UINT8, RPM,Thrust (N), PWM (µs)
0,3465,51.43622732,1100
1,3468,51.19898903,1104
2,3449,50.75416723,1108
3,3421,50.44279197,1112
5,3410,49.77555927,1116
6,3395,49.15280875,1120
7,3374,48.35212952,1124
8,3356,47.41800374,1128
10,3323,46.92869976,1132
11,3307,46.1725027,1136
12,3282,45.59423436,1140
14,3248,44.39321551,1144
15,3223,44.21528679,1148
16,3207,42.96978575,1152
17,3177,42.21358869,1156
19,3153,41.72428472,1160
20,3111,40.6567124,1164
21,3086,39.81155098,1168
22,3061,38.78846084,1172
24,3050,38.12122815,1176
25,3003,37.45399545,1180
26,2988,36.65331621,1184
28,2952,36.11953005,1188
29,2918,35.363333,1192
30,2896,34.42920722,1196
31,2865,33.53956362,1200
33,2845,33.09474182,1204
34,2821,32.38302694,1208
35,2792,31.53786553,1212
36,2759,31.09304373,1216
38,2736,30.47029321,1220
39,2712,29.93650705,1224
40,2681,29.18030999,1228
42,2661,28.33514858,1232
43,2629,27.8458446,1236
44,2599,27.04516536,1240
45,2576,26.77827228,1244
47,2548,26.02207522,1248
48,2517,25.26587817,1252
49,2482,24.68760983,1256
51,2440,23.84244841,1260
52,2419,23.35314443,1264
53,2369,22.33005429,1268
54,2345,21.75178596,1272
56,2306,21.35144634,1276
57,2278,20.81766018,1280
58,2248,20.06146312,1284
59,2222,19.52767696,1288
61,2199,18.94940862,1292
62,2157,18.41562247,1296
63,2140,17.88183631,1300
65,2106,17.25908579,1304
66,2081,16.59185309,1308
67,2040,16.19151347,1312
68,2001,15.56876295,1316
70,1968,15.07945898,1320
71,1936,14.54567282,1324
72,1903,14.10085102,1328
73,1870,13.61154704,1332
75,1840,13.0332787,1336
76,1807,12.54397472,1340
77,1773,12.1436351,1344
79,1738,11.60984895,1348
80,1705,11.20950933,1352
81,1667,10.76468753,1356
82,1630,10.14193701,1360
84,1589,9.741597391,1364
85,1554,9.296775592,1368
86,1519,8.896435974,1372
87,1482,8.540578535,1376
89,1448,8.006792376,1380
90,1410,7.606452757,1384
91,1362,7.072666599,1388
93,1325,6.67232698,1392
94,1285,6.271987361,1396
95,1246,5.916129922,1400
96,1199,5.471308124,1404
98,1153,5.026486325,1408
99,1113,4.626146706,1412
100,1064,4.270289267,1416
102,1016,3.914431828,1420
103,970,3.51409221,1424
104,916,3.158234771,1428
105,869,2.846859512,1432
107,810,2.446519893,1436
108,758,2.135144634,1440
109,697,1.779287195,1444
110,641,1.512394116,1448
112,578,1.245501036,1452
113,513,0.9786079571,1456
114,450,0.7561970578,1460
116,388,0.5337861584,1464
117,317,0.4003396188,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,308,-0.3558574389,1532
138,375,-0.4893039785,1536
140,441,-0.667232698,1540
141,508,-0.8451614175,1544
142,573,-1.023090137,1548
144,630,-1.245501036,1552
145,688,-1.467911936,1556
146,749,-1.779287195,1560
147,804,-2.046180274,1564
149,859,-2.313073353,1568
150,906,-2.535484252,1572
151,962,-2.891341691,1576
153,1007,-3.158234771,1580
154,1057,-3.46961003,1584
155,1104,-3.780985289,1588
156,1148,-4.092360548,1592
158,1195,-4.359253627,1596
159,1237,-4.715111066,1600
160,1279,-5.026486325,1604
161,1319,-5.293379404,1608
163,1359,-5.693719023,1612
164,1409,-6.049576462,1616
165,1444,-6.360951721,1620
167,1480,-6.67232698,1624
168,1516,-7.028184419,1628
169,1549,-7.295077498,1632
170,1583,-7.695417117,1636
172,1629,-8.051274556,1640
173,1668,-8.540578535,1644
174,1699,-8.851953794,1648
175,1740,-9.252293413,1652
177,1766,-9.608150851,1656
178,1802,-10.00849047,1660
179,1835,-10.31986573,1664
181,1865,-10.80916971,1668
182,1901,-10.98709843,1672
183,1930,-11.38743805,1676
184,1961,-11.78777767,1680
186,1994,-12.32156382,1684
187,2031,-12.76638562,1688
188,2071,-13.21120742,1692
189,2106,-13.7005114,1696
191,2129,-14.10085102,1700
192,2160,-14.590155,1704
193,2190,-14.85704808,1708
195,2219,-15.25738769,1712
196,2244,-15.79117385,1716
197,2266,-16.36944219,1720
198,2305,-16.68081745,1724
200,2342,-17.30356797,1728
201,2392,-17.79287195,1732
202,2416,-18.23769375,1736
204,2446,-19.03837298,1740
205,2475,-19.39423042,1744
206,2498,-19.83905222,1748
207,2538,-20.41732056,1752
209,2584,-20.773178,1756
210,2609,-21.52937506,1760
211,2639,-21.92971467,1764
212,2663,-22.33005429,1768
214,2688,-23.08625135,1772
215,2711,-23.35314443,1776
216,2735,-24.06485931,1780
218,2766,-24.59864547,1784
219,2809,-24.99898509,1788
220,2822,-25.31036034,1792
221,2854,-26.0665574,1796
223,2888,-26.55586138,1800
224,2903,-27.1786119,1804
225,2934,-27.66791588,1808
226,2973,-28.0682555,1812
228,3002,-28.82445255,1816
229,3042,-29.35823871,1820
230,3065,-29.80306051,1824
232,3108,-30.47029321,1828
233,3125,-31.40441899,1832
234,3153,-31.89372297,1836
235,3180,-32.4719913,1840
237,3204,-33.31715272,1844
238,3242,-33.85093888,1848
239,3260,-34.51817158,1852
240,3299,-35.18540428,1856
242,3308,-35.85263697,1860
243,3351,-36.43090531,1864
244,3379,-36.78676275,1868
246,3406,-37.27606673,1872
247,3428,-37.49847763,1876
248,3438,-37.94329943,1880
249,3455,-38.25467469,1884
251,3494,-38.8774252,1888
252,3516,-39.45569354,1892
253,3527,-39.72258662,1896
255,3533,-39.90792904,1900
